"id","value","length","source"
"79","perancis","8","bisnis-001"
"80","atau","4","bisnis-001"
"81","sncf","4","bisnis-001"
"82","paris","5","bisnis-001"
"83","sikap","5","bisnis-001"
"84","pemerintah","10","bisnis-001"
"85","perancis","8","bisnis-001"
"86","tidak","5","bisnis-001"
"87","lepas","5","bisnis-001"
"88","dari","4","bisnis-001"
"89","situasi","7","bisnis-001"
"90","krisis","6","bisnis-001"
"91","ekonomi","7","bisnis-001"
"92","eropa","5","bisnis-001"
"93","yang","4","bisnis-001"
"94","masih","5","bisnis-001"
"95","berlangsung","11","bisnis-001"
"96","kata","4","bisnis-001"
"97","perancis","8","bisnis-001"
"98","melihat","7","bisnis-001"
"99","indonesia","9","bisnis-001"
"100","masih","5","bisnis-001"
"101","kuat","4","bisnis-001"
"102","perekonomiannya","15","bisnis-001"
"103","berdasarkan","11","bisnis-001"
"104","banyaknya","9","bisnis-001"
"105","masyarakat","10","bisnis-001"
"106","kelas","5","bisnis-001"
"107","menengah","8","bisnis-001"
"108","baru","4","bisnis-001"
"109","yang","4","bisnis-001"
"110","muncul","6","bisnis-001"
"111","serta","5","bisnis-001"
"112","meningkatnya","12","bisnis-001"
"113","daya","4","bisnis-001"
"114","beli","4","bisnis-001"
"115","sebagian","8","bisnis-001"
"116","besar","5","bisnis-001"
"117","masyarakat","10","bisnis-001"
"118","sehingga","8","bisnis-001"
"119","bisnis","6","bisnis-001"
"120","sektor","6","bisnis-001"
"121","penjualan","9","bisnis-001"
"122","barang","6","bisnis-001"
"123","konsumsi","8","bisnis-001"
"124","pariwisata","10","bisnis-001"
"125","transportasi","12","bisnis-001"
"126","sangat","6","bisnis-001"
"127","menjanjikan","11","bisnis-001"
"128","menurut","7","bisnis-001"
"129","tahun","5","bisnis-001"
"130","perusahaan","10","bisnis-001"
"131","kosmetik","8","bisnis-001"
"132","ternama","7","bisnis-001"
"133","perancis","8","bisnis-001"
"134","oreal","5","bisnis-001"
"135","misalnya","8","bisnis-001"
"136","sudah","5","bisnis-001"
"137","membuka","7","bisnis-001"
"138","pabrik","6","bisnis-001"
"139","baru","4","bisnis-001"
"140","daerah","6","bisnis-001"
"141","karawang","8","bisnis-001"
"142","jawa","4","bisnis-001"
"143","barat","5","bisnis-001"
"144","nilai","5","bisnis-001"
"145","investasi","9","bisnis-001"
"146","pembangunan","11","bisnis-001"
"147","pabrik","6","bisnis-001"
"148","sekitar","7","bisnis-001"
"149","juta","4","bisnis-001"
"150","dollar","6","bisnis-001"
"151","produksi","8","bisnis-001"
"152","dari","4","bisnis-001"
"153","pabrik","6","bisnis-001"
"154","tersebut","8","bisnis-001"
"155","nantinya","8","bisnis-001"
"156","akan","4","bisnis-001"
"157","dipasarkan","10","bisnis-001"
"158","untuk","5","bisnis-001"
"159","pasar","5","bisnis-001"
"160","domestik","8","bisnis-001"
"161","sebanyak","8","bisnis-001"
"162","persen","6","bisnis-001"
"163","untuk","5","bisnis-001"
"164","ekspor","6","bisnis-001"
"165","persen","6","bisnis-001"
"166","perusahaan","10","bisnis-001"
"167","perancis","8","bisnis-001"
"168","bidang","6","bisnis-001"
"169","penjualan","9","bisnis-001"
"170","barang","6","bisnis-001"
"171","konsumsi","8","bisnis-001"
"172","lainnya","7","bisnis-001"
"173","seperti","7","bisnis-001"
"174","carrefour","9","bisnis-001"
"175","juga","4","bisnis-001"
"176","masih","5","bisnis-001"
"177","akan","4","bisnis-001"
"178","memperluas","10","bisnis-001"
"179","jaringan","8","bisnis-001"
"180","indonesia","9","bisnis-001"
"181","saat","4","bisnis-001"
"182","carrefour","9","bisnis-001"
"183","sedang","6","bisnis-001"
"184","berusaha","8","bisnis-001"
"185","membuka","7","bisnis-001"
"186","cabang","6","bisnis-001"
"187","jayapura","8","bisnis-001"
"188","bidang","6","bisnis-001"
"189","pariwisata","10","bisnis-001"
"190","khususnya","9","bisnis-001"
"191","perhotelan","10","bisnis-001"
"192","perancis","8","bisnis-001"
"193","juga","4","bisnis-001"
"194","semakin","7","bisnis-001"
"195","agresif","7","bisnis-001"
"196","perusahaan","10","bisnis-001"
"197","perhotelan","10","bisnis-001"
"198","accor","5","bisnis-001"
"199","group","5","bisnis-001"
"200","misalnya","8","bisnis-001"
"201","terus","5","bisnis-001"
"202","membidik","8","bisnis-001"
"203","tempat-tempat","13","bisnis-001"
"204","baru","4","bisnis-001"
"205","untuk","5","bisnis-001"
"206","membangun","9","bisnis-001"
"207","hotel","5","bisnis-001"
"208","mereka","6","bisnis-001"
"209","melihat","7","bisnis-001"
"210","prospek","7","bisnis-001"
"211","pergerakan","10","bisnis-001"
"212","wisatawan","9","bisnis-001"
"213","domestik","8","bisnis-001"
"214","indonesia","9","bisnis-001"
"215","juga","4","bisnis-001"
"216","menguntungkan","13","bisnis-001"
"217","menambahkan","11","bisnis-001"
"218","investasi","9","bisnis-001"
"219","sektor","6","bisnis-001"
"220","pertambangan","12","bisnis-001"
"221","juga","4","bisnis-001"
"222","belum","5","bisnis-001"
"223","surut","5","bisnis-001"
"224","salah","5","bisnis-001"
"225","satu","4","bisnis-001"
"226","perusahaan","10","bisnis-001"
"227","tambang","7","bisnis-001"
"228","nikel","5","bisnis-001"
"229","perancis","8","bisnis-001"
"230","eramet","6","bisnis-001"
"231","berencana","9","bisnis-001"
"232","berinvestasi","12","bisnis-001"
"233","indonesia","9","bisnis-001"
"234","pada","4","bisnis-001"
"235","tahun","5","bisnis-001"
"236","nanti","5","bisnis-001"
"237","dengan","6","bisnis-001"
"238","nilai","5","bisnis-001"
"239","investasi","9","bisnis-001"
"240","mencapai","8","bisnis-001"
"241","miliar","6","bisnis-001"
"242","dollar","6","bisnis-001"
"243","bidang","6","bisnis-001"
"244","transportasi","12","bisnis-001"
"245","penasihat","9","bisnis-001"
"246","sncf","4","bisnis-001"
"247","untuk","5","bisnis-001"
"248","indonesia","9","bisnis-001"
"249","michel","6","bisnis-001"
"250","antraigue","9","bisnis-001"
"251","mengatakan","10","bisnis-001"
"252","bahwa","5","bisnis-001"
"253","operator-operator","17","bisnis-001"
"254","kereta","6","bisnis-001"
"255","perancis","8","bisnis-001"
"256","juga","4","bisnis-001"
"257","berminat","8","bisnis-001"
"258","bekerja","7","bisnis-001"
"259","sama","4","bisnis-001"
"260","dengan","6","bisnis-001"
"261","indonesia","9","bisnis-001"
"262","para","4","bisnis-001"
"263","operator","8","bisnis-001"
"264","tertarik","8","bisnis-001"
"265","untuk","5","bisnis-001"
"266","ikut","4","bisnis-001"
"267","membangun","9","bisnis-001"
"268","jaringan","8","bisnis-001"
"269","transportasi","12","bisnis-001"
"270","kereta","6","bisnis-001"
"271","di","2","bisnis-001"
"272","kota-kota","9","bisnis-001"
"273","besar","5","bisnis-001"
"274","indonesia","9","bisnis-001"
"275","saat","4","bisnis-001"
"276","sncf","4","bisnis-001"
"277","telah","5","bisnis-001"
"278","selesai","7","bisnis-001"
"279","melakukan","9","bisnis-001"
"280","studi","5","bisnis-001"
"281","kelayakan","9","bisnis-001"
"282","proyek","6","bisnis-001"
"283","pengembangan","12","bisnis-001"
"284","jalur","5","bisnis-001"
"285","kereta","6","bisnis-001"
"286","di","2","bisnis-001"
"287","jalur","5","bisnis-001"
"288","cicalengka-padalarang","21","bisnis-001"
"289","sepanjang","9","bisnis-001"
"290","kilometer","9","bisnis-001"
"291","sembilan","8","bisnis-002"
"292","kado","4","bisnis-002"
"293","aturan","6","bisnis-002"
"294","bank","4","bisnis-002"
"295","sentral","7","bisnis-002"
"296","untuk","5","bisnis-002"
"297","perbankan","9","bisnis-002"
"298","jumat","5","bisnis-002"
"299","november","8","bisnis-002"
"300","bank","4","bisnis-002"
"301","indonesia","9","bisnis-002"
"302","telah","5","bisnis-002"
"303","menyiapkan","10","bisnis-002"
"304","aturan","6","bisnis-002"
"305","baru","4","bisnis-002"
"306","untuk","5","bisnis-002"
"307","perbankan","9","bisnis-002"
"308","tanah","5","bisnis-002"
"309","aturan","6","bisnis-002"
"310","akan","4","bisnis-002"
"311","mengantisipasi","14","bisnis-002"
"312","sektor","6","bisnis-002"
"313","keuangan","8","bisnis-002"
"314","masa","4","bisnis-002"
"315","depan","5","bisnis-002"
"316","direktur","8","bisnis-002"
"317","eksekutif","9","bisnis-002"
"318","penelitian","10","bisnis-002"
"319","pengaturan","10","bisnis-002"
"320","perbankan","9","bisnis-002"
"321","mulya","5","bisnis-002"
"322","siregar","7","bisnis-002"
"323","menjelaskan","11","bisnis-002"
"324","bank","4","bisnis-002"
"325","sentral","7","bisnis-002"
"326","telah","5","bisnis-002"
"327","menyiapkan","10","bisnis-002"
"328","tiga","4","bisnis-002"
"329","besaran","7","bisnis-002"
"330","kebijakan","9","bisnis-002"
"331","utama","5","bisnis-002"
"332","yang","4","bisnis-002"
"333","akan","4","bisnis-002"
"334","disampaikan","11","bisnis-002"
"335","dalam","5","bisnis-002"
"336","acara","5","bisnis-002"
"337","bankers","7","bisnis-002"
"338","dinners","7","bisnis-002"
"339","malam","5","bisnis-002"
"340","tiga","4","bisnis-002"
"341","kebijakan","9","bisnis-002"
"342","utama","5","bisnis-002"
"343","dari","4","bisnis-002"
"344","bank","4","bisnis-002"
"345","sentral","7","bisnis-002"
"346","untuk","5","bisnis-002"
"347","perbankan","9","bisnis-002"
"348","meliputi","8","bisnis-002"
"349","pemeliharaan","12","bisnis-002"
"350","stabilitas","10","bisnis-002"
"351","sistem","6","bisnis-002"
"352","keuangan","8","bisnis-002"
"353","penguatan","9","bisnis-002"
"354","ketahanan","9","bisnis-002"
"355","daya","4","bisnis-002"
"356","saing","5","bisnis-002"
"357","perbankan","9","bisnis-002"
"358","penguatan","9","bisnis-002"
"359","fungsi","6","bisnis-002"
"360","intermediasi","12","bisnis-002"
"361","perbankan","9","bisnis-002"
"362","kata","4","bisnis-002"
"363","mulya","5","bisnis-002"
"364","saat","4","bisnis-002"
"365","konferensi","10","bisnis-002"
"366","pers","4","bisnis-002"
"367","bankers","7","bisnis-002"
"368","dinner","6","bisnis-002"
"369","gedung","6","bisnis-002"
"370","bank","4","bisnis-002"
"371","indonesia","9","bisnis-002"
"372","jakarta","7","bisnis-002"
"373","jumat","5","bisnis-002"
"374","menurut","7","bisnis-002"
"375","mulya","5","bisnis-002"
"376","tiga","4","bisnis-002"
"377","besaran","7","bisnis-002"
"378","kebijakan","9","bisnis-002"
"379","akan","4","bisnis-002"
"380","mewadahi","8","bisnis-002"
"381","sembilan","8","bisnis-002"
"382","aturan","6","bisnis-002"
"383","yang","4","bisnis-002"
"384","harus","5","bisnis-002"
"385","diterapkan","10","bisnis-002"
"386","perbankan","9","bisnis-002"
"387","tanah","5","bisnis-002"
"388","mulai","5","bisnis-002"
"389","januari","7","bisnis-002"
"390","namun","5","bisnis-002"
"391","sebenarnya","10","bisnis-002"
"392","aturan","6","bisnis-002"
"393","akan","4","bisnis-002"
"394","mulai","5","bisnis-002"
"395","dirilis","7","bisnis-002"
"396","mulai","5","bisnis-002"
"397","minggu","6","bisnis-002"
"398","depan","5","bisnis-002"
"399","berikut","7","bisnis-002"
"400","adalah","6","bisnis-002"
"401","aturan","6","bisnis-002"
"402","untuk","5","bisnis-002"
"403","perbankan","9","bisnis-002"
"404","indonesia","9","bisnis-002"
"405","koridor","7","bisnis-002"
"406","pemeliharaan","12","bisnis-002"
"407","stabilitas","10","bisnis-002"
"408","sistem","6","bisnis-002"
"409","keuangan","8","bisnis-002"
"410","penerapan","9","bisnis-002"
"411","manajemen","9","bisnis-002"
"412","risiko","6","bisnis-002"
"413","pada","4","bisnis-002"
"414","bank","4","bisnis-002"
"415","yang","4","bisnis-002"
"416","melakukan","9","bisnis-002"
"417","pemberian","9","bisnis-002"
"418","kredit","6","bisnis-002"
"419","atau","4","bisnis-002"
"420","pembiayaan","10","bisnis-002"
"421","pemilikan","9","bisnis-002"
"422","rumah","5","bisnis-002"
"423","kredit","6","bisnis-002"
"424","atau","4","bisnis-002"
"425","pembiayaan","10","bisnis-002"
"426","kendaraan","9","bisnis-002"
"427","bermotor","8","bisnis-002"
"428","aturan","6","bisnis-002"
"429","berkaitan","9","bisnis-002"
"430","dengan","6","bisnis-002"
"431","loan","4","bisnis-002"
"432","value","5","bisnis-002"
"433","down","4","bisnis-002"
"434","payment","7","bisnis-002"
"435","pada","4","bisnis-002"
"436","kredit","6","bisnis-002"
"437","pemilikan","9","bisnis-002"
"438","rumah","5","bisnis-002"
"439","kredit","6","bisnis-002"
"440","kendaraan","9","bisnis-002"
"441","bermotor","8","bisnis-002"
"442","pengaturan","10","bisnis-002"
"443","kegiatan","8","bisnis-002"
"444","usaha","5","bisnis-002"
"445","bank","4","bisnis-002"
"446","berupa","6","bisnis-002"
"447","penitipan","9","bisnis-002"
"448","dengan","6","bisnis-002"
"449","pengelolaan","11","bisnis-002"
"450","trust","5","bisnis-002"
"451","penyempurnaan","13","bisnis-002"
"452","kewajiban","9","bisnis-002"
"453","penyediaan","10","bisnis-002"
"454","modal","5","bisnis-002"
"455","minimum","7","bisnis-002"
"456","kpmm","4","bisnis-002"
"457","kewajiban","9","bisnis-002"
"458","pemeliharaan","12","bisnis-002"
"459","capital","7","bisnis-002"
"460","equivalence","11","bisnis-002"
"461","maintained","10","bisnis-002"
"462","assets","6","bisnis-002"
"463","cema","4","bisnis-002"
"464","penyempurnaan","13","bisnis-002"
"465","ketentuan","9","bisnis-002"
"466","fasilitas","9","bisnis-002"
"467","pendanaan","9","bisnis-002"
"468","jangka","6","bisnis-002"
"469","pendek","6","bisnis-002"
"470","bagi","4","bisnis-002"
"471","bank","4","bisnis-002"
"472","umum","4","bisnis-002"
"473","koridor","7","bisnis-002"
"474","penguatan","9","bisnis-002"
"475","ketahanan","9","bisnis-002"
"476","daya","4","bisnis-002"
"477","saing","5","bisnis-002"
"478","perbankan","9","bisnis-002"
"479","pengaturan","10","bisnis-002"
"480","kepemilikan","11","bisnis-002"
"481","saham","5","bisnis-002"
"482","bank","4","bisnis-002"
"483","umum","4","bisnis-002"
"484","nomor","5","bisnis-002"
"485","pengaturan","10","bisnis-002"
"486","kegiatan","8","bisnis-002"
"487","usaha","5","bisnis-002"
"488","perluasan","9","bisnis-002"
"489","jaringan","8","bisnis-002"
"490","kantor","6","bisnis-002"
"491","bank","4","bisnis-002"
"492","berdasarkan","11","bisnis-002"
"493","modal","5","bisnis-002"
"494","penyempurnaan","13","bisnis-002"
"495","ketentuan","9","bisnis-002"
"496","kepemilikan","11","bisnis-002"
"497","tunggal","7","bisnis-002"
"498","pada","4","bisnis-002"
"499","perbankan","9","bisnis-002"
"500","indonesia","9","bisnis-002"
"501","single","6","bisnis-002"
"502","presence","8","bisnis-002"
"503","policy","6","bisnis-002"
"504","atau","4","bisnis-002"
"505","aturan","6","bisnis-002"
"506","izin","4","bisnis-002"
"507","berjenjang","10","bisnis-002"
"508","perbankan","9","bisnis-002"
"509","koridor","7","bisnis-002"
"510","penguatan","9","bisnis-002"
"511","fungsi","6","bisnis-002"
"512","intermediasi","12","bisnis-002"
"513","perbankan","9","bisnis-002"
"514","peningkatan","11","bisnis-002"
"515","akses","5","bisnis-002"
"516","layanan","7","bisnis-002"
"517","pemberian","9","bisnis-002"
"518","kredit","6","bisnis-002"
"519","atau","4","bisnis-002"
"520","pembiayaan","10","bisnis-002"
"521","usaha","5","bisnis-002"
"522","kecil","5","bisnis-002"
"523","mikro","5","bisnis-002"
"524","menengah","8","bisnis-002"
"525","umkm","4","bisnis-002"
"526","oleh","4","bisnis-002"
"527","bank","4","bisnis-002"
"528","umum","4","bisnis-002"
"529","perluasan","9","bisnis-002"
"530","akses","5","bisnis-002"
"531","layanan","7","bisnis-002"
"532","keuangan","8","bisnis-002"
"533","melalui","7","bisnis-002"
"534","branchless","10","bisnis-002"
"535","banking","7","bisnis-002"
"536","aturan","6","bisnis-003"
"537","uang","4","bisnis-003"
"538","muka","4","bisnis-003"
"539","dan","3","bisnis-003"
"540","syariah","7","bisnis-003"
"541","jumat","5","bisnis-003"
"542","november","8","bisnis-003"
"543","bank","4","bisnis-003"
"544","indonesia","9","bisnis-003"
"545","telah","5","bisnis-003"
"546","merilis","7","bisnis-003"
"547","aturan","6","bisnis-003"
"548","tentang","7","bisnis-003"
"549","uang","4","bisnis-003"
"550","muka","4","bisnis-003"
"551","pada","4","bisnis-003"
"552","kredit","6","bisnis-003"
"553","pemilikan","9","bisnis-003"
"554","rumah","5","bisnis-003"
"555","perbankan","9","bisnis-003"
"556","syariah","7","bisnis-003"
"557","aturan","6","bisnis-003"
"558","finance","7","bisnis-003"
"559","value","5","bisnis-003"
"560","perbankan","9","bisnis-003"
"561","syariah","7","bisnis-003"
"562","sama","4","bisnis-003"
"563","dengan","6","bisnis-003"
"564","regulasi","8","bisnis-003"
"565","perbankan","9","bisnis-003"
"566","konvensional","12","bisnis-003"
"567","direktur","8","bisnis-003"
"568","eksekutif","9","bisnis-003"
"569","direktorat","10","bisnis-003"
"570","perbankan","9","bisnis-003"
"571","syariah","7","bisnis-003"
"572","bank","4","bisnis-003"
"573","indonesia","9","bisnis-003"
"574","setiadi","7","bisnis-003"
"575","menjelaskan","11","bisnis-003"
"576","aturan","6","bisnis-003"
"577","untuk","5","bisnis-003"
"578","pembiayaan","10","bisnis-003"
"579","pemilikan","9","bisnis-003"
"580","rumah","5","bisnis-003"
"581","tipe","4","bisnis-003"
"582","atas","4","bisnis-003"
"583","paling","6","bisnis-003"
"584","tinggi","6","bisnis-003"
"585","persen","6","bisnis-003"
"586","dengan","6","bisnis-003"
"587","akad","4","bisnis-003"
"588","murabahah","9","bisnis-003"
"589","kata","4","bisnis-003"
"590","saat","4","bisnis-003"
"591","konferensi","10","bisnis-003"
"592","pers","4","bisnis-003"
"593","bankers","7","bisnis-003"
"594","dinner","6","bisnis-003"
"595","gedung","6","bisnis-003"
"596","bank","4","bisnis-003"
"597","indonesia","9","bisnis-003"
"598","jakarta","7","bisnis-003"
"599","jumat","5","bisnis-003"
"600","menurut","7","bisnis-003"
"601","aturan","6","bisnis-003"
"602","itu","3","bisnis-003"
"603","tidak","5","bisnis-003"
"604","termasuk","8","bisnis-003"
"605","untuk","5","bisnis-003"
"606","subsidi","7","bisnis-003"
"607","pemerintah","10","bisnis-003"
"608","namun","5","bisnis-003"
"609","untuk","5","bisnis-003"
"610","pembiayaan","10","bisnis-003"
"611","kepemilikan","11","bisnis-003"
"612","rumah","5","bisnis-003"
"613","dengan","6","bisnis-003"
"614","akad","4","bisnis-003"
"615","musyarakah","10","bisnis-003"
"616","mutanaqisah","11","bisnis-003"
"617","akad","4","bisnis-003"
"618","ijarah","6","bisnis-003"
"619","muntahiyah","10","bisnis-003"
"620","bittamlik","9","bisnis-003"
"621","paling","6","bisnis-003"
"622","tinggi","6","bisnis-003"
"623","persen","6","bisnis-003"
"624","artinya","7","bisnis-003"
"625","bank","4","bisnis-003"
"626","hanya","5","bisnis-003"
"627","menanggung","10","bisnis-003"
"628","maksimal","8","bisnis-003"
"629","persen","6","bisnis-003"
"630","dari","4","bisnis-003"
"631","total","5","bisnis-003"
"632","pembiayaan","10","bisnis-003"
"633","rumah","5","bisnis-003"
"634","dari","4","bisnis-003"
"635","nasabah","7","bisnis-003"
"636","sehingga","8","bisnis-003"
"637","sisanya","7","bisnis-003"
"638","harus","5","bisnis-003"
"639","disediakan","10","bisnis-003"
"640","oleh","4","bisnis-003"
"641","nasabah","7","bisnis-003"
"642","sendiri","7","bisnis-003"
"643","akan","4","bisnis-003"
"644","meminimalisasi","14","bisnis-003"
"645","risiko","6","bisnis-003"
"646","dari","4","bisnis-003"
"647","nasabah","7","bisnis-003"
"648","tambahnya","9","bisnis-003"
"649","sementara","9","bisnis-003"
"650","untuk","5","bisnis-003"
"651","uang","4","bisnis-003"
"652","muka","4","bisnis-003"
"653","down","4","bisnis-003"
"654","payment","7","bisnis-003"
"655","kredit","6","bisnis-003"
"656","atau","4","bisnis-003"
"657","pembiayaan","10","bisnis-003"
"658","kendaraan","9","bisnis-003"
"659","bermotor","8","bisnis-003"
"660","sedikitnya","10","bisnis-003"
"661","persen","6","bisnis-003"
"662","untuk","5","bisnis-003"
"663","pembelian","9","bisnis-003"
"664","kendaraan","9","bisnis-003"
"665","roda","4","bisnis-003"
"666","atau","4","bisnis-003"
"667","tiga","4","bisnis-003"
"668","sementara","9","bisnis-003"
"669","uang","4","bisnis-003"
"670","muka","4","bisnis-003"
"671","untuk","5","bisnis-003"
"672","kendaraan","9","bisnis-003"
"673","roda","4","bisnis-003"
"674","empat","5","bisnis-003"
"675","untuk","5","bisnis-003"
"676","keperluan","9","bisnis-003"
"677","produktif","9","bisnis-003"
"678","sedikitnya","10","bisnis-003"
"679","harus","5","bisnis-003"
"680","persen","6","bisnis-003"
"681","dari","4","bisnis-003"
"682","pembiayaan","10","bisnis-003"
"683","sisi","4","bisnis-003"
"684","lain","4","bisnis-003"
"685","masih","5","bisnis-003"
"686","memperbolehkan","14","bisnis-003"
"687","uang","4","bisnis-003"
"688","muka","4","bisnis-003"
"689","sebesar","7","bisnis-003"
"690","persen","6","bisnis-003"
"691","untuk","5","bisnis-003"
"692","pembelian","9","bisnis-003"
"693","kendaraan","9","bisnis-003"
"694","bermotor","8","bisnis-003"
"695","roda","4","bisnis-003"
"696","empat","5","bisnis-003"
"697","atau","4","bisnis-003"
"698","lebih","5","bisnis-003"
"699","untuk","5","bisnis-003"
"700","keperluan","9","bisnis-003"
"701","produktif","9","bisnis-003"
"702","namun","5","bisnis-003"
"703","dengan","6","bisnis-003"
"704","syarat-syarat","13","bisnis-003"
"705","tertentu","8","bisnis-003"
"706","jelasnya","8","bisnis-003"
"707","syarat-syarat","13","bisnis-003"
"708","antara","6","bisnis-003"
"709","lain","4","bisnis-003"
"710","kendaraan","9","bisnis-003"
"711","tersebut","8","bisnis-003"
"712","untuk","5","bisnis-003"
"713","angkutan","8","bisnis-003"
"714","orang","5","bisnis-003"
"715","atau","4","bisnis-003"
"716","barang","6","bisnis-003"
"717","yang","4","bisnis-003"
"718","memiliki","8","bisnis-003"
"719","izin","4","bisnis-003"
"720","dikeluarkan","11","bisnis-003"
"721","oleh","4","bisnis-003"
"722","pihak","5","bisnis-003"
"723","berwenang","9","bisnis-003"
"724","untuk","5","bisnis-003"
"725","melakukan","9","bisnis-003"
"726","kegiatan","8","bisnis-003"
"727","usaha","5","bisnis-003"
"728","tertentu","8","bisnis-003"
"729","selain","6","bisnis-003"
"730","kendaraan","9","bisnis-003"
"731","tersebut","8","bisnis-003"
"732","diajukan","8","bisnis-003"
"733","secara","6","bisnis-003"
"734","perorangan","10","bisnis-003"
"735","atau","4","bisnis-003"
"736","badan","5","bisnis-003"
"737","hukum","5","bisnis-003"
"738","yang","4","bisnis-003"
"739","memiliki","8","bisnis-003"
"740","izin","4","bisnis-003"
"741","usaha","5","bisnis-003"
"742","tertentu","8","bisnis-003"
"743","yang","4","bisnis-003"
"744","dikeluarkan","11","bisnis-003"
"745","oleh","4","bisnis-003"
"746","pihak","5","bisnis-003"
"747","berwenang","9","bisnis-003"
"748","digunakan","9","bisnis-003"
"749","untuk","5","bisnis-003"
"750","mendukun","8","bisnis-003"
"751","ekonomi","7","bisnis-004"
"752","tumbuh","6","bisnis-004"
"753","tapi","4","bisnis-004"
"754","belum","5","bisnis-004"
"755","optimal","7","bisnis-004"
"756","jumat","5","bisnis-004"
"757","november","8","bisnis-004"
"758","bank","4","bisnis-004"
"759","indonesia","9","bisnis-004"
"760","menilai","7","bisnis-004"
"761","pertumbuhan","11","bisnis-004"
"762","ekonomi","7","bisnis-004"
"763","indonesia","9","bisnis-004"
"764","sudah","5","bisnis-004"
"765","lebih","5","bisnis-004"
"766","tinggi","6","bisnis-004"
"767","dibanding","9","bisnis-004"
"768","negara","6","bisnis-004"
"769","lain","4","bisnis-004"
"770","namun","5","bisnis-004"
"771","pertumbuhan","11","bisnis-004"
"772","tersebut","8","bisnis-004"
"773","masih","5","bisnis-004"
"774","dinilai","7","bisnis-004"
"775","belum","5","bisnis-004"
"776","optimal","7","bisnis-004"
"777","direktur","8","bisnis-004"
"778","eksekutif","9","bisnis-004"
"779","penelitian","10","bisnis-004"
"780","pengaturan","10","bisnis-004"
"781","perbankan","9","bisnis-004"
"782","mulya","5","bisnis-004"
"783","siregar","7","bisnis-004"
"784","menjelaskan","11","bisnis-004"
"785","pertumbuhan","11","bisnis-004"
"786","ekonomi","7","bisnis-004"
"787","indonesia","9","bisnis-004"
"788","pada","4","bisnis-004"
"789","kuartal","7","bisnis-004"
"790","telah","5","bisnis-004"
"791","naik","4","bisnis-004"
"792","persen","6","bisnis-004"
"793","lebih","5","bisnis-004"
"794","rendah","6","bisnis-004"
"795","dari","4","bisnis-004"
"796","target","6","bisnis-004"
"797","semula","6","bisnis-004"
"798","persen","6","bisnis-004"
"799","namun","5","bisnis-004"
"800","pertumbuhan","11","bisnis-004"
"801","masih","5","bisnis-004"
"802","belum","5","bisnis-004"
"803","optimal","7","bisnis-004"
"804","dengan","6","bisnis-004"
