"id","input","output","process_time","issue","source"
"43","indonesia","Indonesia","0.01262",,"bisnis-001"
"44","untuk","untuk","0.00334",,"bisnis-001"
"45","perancis","perancis","0.00802","lemma_not_found","bisnis-001"
"46","tharyat","tharyat","0.01229","lemma_not_found","bisnis-001"
"47","saat","saat","0.00138",,"bisnis-001"
"48","menerima","terima","0.00176",,"bisnis-001"
"49","kunjungan","kunjung","0.00164",,"bisnis-001"
"50","rombongan","rombong","0.00426",,"bisnis-001"
"51","kereta","kereta","0.00333",,"bisnis-001"
"52","indonesia","Indonesia","0.00362",,"bisnis-001"
"53","kai","kai","0.00442","lemma_not_found","bisnis-001"
"54","paris","paris","0.00344",,"bisnis-001"
"55","perancis","perancis","0.00719","lemma_not_found","bisnis-001"
"56","kamis","Kamis","0.00314",,"bisnis-001"
"57","malam","malam","0.00307",,"bisnis-001"
"58","waktu","waktu","0.01261",,"bisnis-001"
"59","perancis","perancis","0.00761","lemma_not_found","bisnis-001"
"60","seperti","seperti","0.00331",,"bisnis-001"
"61","dilaporkan","lapor","0.00531",,"bisnis-001"
"62","wartawan","wartawan","0.00205",,"bisnis-001"
"63","kompas","kompas","0.00322",,"bisnis-001"
"64","herpin","herpin","0.00457","lemma_not_found","bisnis-001"
"65","dewanto","dewanto","0.00423","lemma_not_found","bisnis-001"
"66","kai","kai","0.00459","lemma_not_found","bisnis-001"
"67","selama","lama","0.00443",,"bisnis-001"
"68","sepekan","pekan","0.00436",,"bisnis-001"
"69","sedang","sedang","0.00370",,"bisnis-001"
"70","mengikuti","ikut","0.00434",,"bisnis-001"
"71","pelatihan","latih","0.00344",,"bisnis-001"
"72","pelayanan","layan","0.00332",,"bisnis-001"
"73","publik","publik","0.00196",,"bisnis-001"
"74","kantor","kantor","0.00216",,"bisnis-001"
"75","pusat","pusat","0.00334",,"bisnis-001"
"76","perusahaan","usaha","0.00782",,"bisnis-001"
"77","nasional","nasional","0.00345",,"bisnis-001"
"78","kereta","kereta","0.00332",,"bisnis-001"
"79","perancis","perancis","0.00724","lemma_not_found","bisnis-001"
"80","atau","atau","0.00298",,"bisnis-001"
"81","sncf","sncf","0.00423","lemma_not_found","bisnis-001"
"82","paris","paris","0.00343",,"bisnis-001"
"83","sikap","sikap","0.00375",,"bisnis-001"
"84","pemerintah","perintah","0.00591",,"bisnis-001"
"85","perancis","perancis","0.00723","lemma_not_found","bisnis-001"
"86","tidak","tidak","0.00322",,"bisnis-001"
"87","lepas","lepas","0.00338",,"bisnis-001"
"88","dari","dari","0.01230",,"bisnis-001"
"89","situasi","situasi","0.01360",,"bisnis-001"
"90","krisis","krisis","0.00230",,"bisnis-001"
"91","ekonomi","ekonomi","0.00361",,"bisnis-001"
"92","eropa","eropa","0.00458","lemma_not_found","bisnis-001"
"93","yang","yang","0.00317",,"bisnis-001"
"94","masih","masih","0.01188",,"bisnis-001"
"95","berlangsung","langsung","0.01305",,"bisnis-001"
"96","kata","kata","0.00347",,"bisnis-001"
"97","perancis","perancis","0.01751","lemma_not_found","bisnis-001"
"98","melihat","lihat","0.00431",,"bisnis-001"
"99","indonesia","Indonesia","0.00390",,"bisnis-001"
"100","masih","masih","0.01275",,"bisnis-001"
"101","kuat","kuat","0.01145",,"bisnis-001"
"102","perekonomiannya","ekonomi","0.00379",,"bisnis-001"
"103","berdasarkan","dasar","0.00352",,"bisnis-001"
"104","banyaknya","banyak","0.00417",,"bisnis-001"
"105","masyarakat","masyarakat","0.00380",,"bisnis-001"
"106","kelas","kelas","0.00352",,"bisnis-001"
"107","menengah","tengah","0.00469",,"bisnis-001"
"108","baru","baru","0.00349",,"bisnis-001"
"109","yang","yang","0.00332",,"bisnis-001"
"110","muncul","muncul","0.00339",,"bisnis-001"
"111","serta","serta","0.00308",,"bisnis-001"
"112","meningkatnya","tingkat","0.00467",,"bisnis-001"
"113","daya","daya","0.00315",,"bisnis-001"
"114","beli","beli","0.00324",,"bisnis-001"
"115","sebagian","bagi","0.00495",,"bisnis-001"
"116","besar","besar","0.00319",,"bisnis-001"
"117","masyarakat","masyarakat","0.00369",,"bisnis-001"
"118","sehingga","sehingga","0.00353",,"bisnis-001"
"119","bisnis","bisnis","0.00386",,"bisnis-001"
"120","sektor","sektor","0.00325",,"bisnis-001"
"121","penjualan","jual","0.00547",,"bisnis-001"
"122","barang","barang","0.00356",,"bisnis-001"
"123","konsumsi","konsumsi","0.00335",,"bisnis-001"
"124","pariwisata","pariwisata","0.00395",,"bisnis-001"
"125","transportasi","transportasi","0.00345",,"bisnis-001"
"126","sangat","sangat","0.00329",,"bisnis-001"
"127","menjanjikan","janji","0.00609",,"bisnis-001"
"128","menurut","turut","0.00441",,"bisnis-001"
"129","tahun","tahun","0.01249",,"bisnis-001"
"130","perusahaan","usaha","0.00871",,"bisnis-001"
"131","kosmetik","kosmetik","0.00191",,"bisnis-001"
"132","ternama","nama","0.00158",,"bisnis-001"
"133","perancis","perancis","0.00258","lemma_not_found","bisnis-001"
"134","oreal","oreal","0.00387","lemma_not_found","bisnis-001"
"135","misalnya","misal","0.00376",,"bisnis-001"
"136","sudah","sudah","0.00316",,"bisnis-001"
"137","membuka","buka","0.00401",,"bisnis-001"
"138","pabrik","pabrik","0.00303",,"bisnis-001"
"139","baru","baru","0.00325",,"bisnis-001"
"140","daerah","daerah","0.00338",,"bisnis-001"
"141","karawang","karawang","0.00439","lemma_not_found","bisnis-001"
"142","jawa","jawa","0.00418","lemma_not_found","bisnis-001"
"143","barat","barat","0.01293",,"bisnis-001"
"144","nilai","nilai","0.00372",,"bisnis-001"
"145","investasi","investasi","0.00388",,"bisnis-001"
"146","pembangunan","bangun","0.01458",,"bisnis-001"
"147","pabrik","pabrik","0.00329",,"bisnis-001"
"148","sekitar","sekitar","0.00356",,"bisnis-001"
"149","juta","juta","0.00304",,"bisnis-001"
"150","dollar","dollar","0.00437","lemma_not_found","bisnis-001"
"151","produksi","produksi","0.00330",,"bisnis-001"
"152","dari","dari","0.00325",,"bisnis-001"
"153","pabrik","pabrik","0.00321",,"bisnis-001"
"154","tersebut","sebut","0.00422",,"bisnis-001"
"155","nantinya","nanti","0.00442",,"bisnis-001"
"156","akan","akan","0.00393",,"bisnis-001"
"157","dipasarkan","pasar","0.00534",,"bisnis-001"
"158","untuk","untuk","0.01252",,"bisnis-001"
"159","pasar","pasar","0.01200",,"bisnis-001"
"160","domestik","domestik","0.00331",,"bisnis-001"
"161","sebanyak","banyak","0.00459",,"bisnis-001"
"162","persen","persen","0.00215",,"bisnis-001"
"163","untuk","untuk","0.00213",,"bisnis-001"
"164","ekspor","ekspor","0.00308",,"bisnis-001"
"165","persen","persen","0.00303",,"bisnis-001"
"166","perusahaan","usaha","0.00669",,"bisnis-001"
"167","perancis","perancis","0.00725","lemma_not_found","bisnis-001"
"168","bidang","bidang","0.01232",,"bisnis-001"
"169","penjualan","jual","0.00532",,"bisnis-001"
"170","barang","barang","0.00368",,"bisnis-001"
"171","konsumsi","konsumsi","0.00338",,"bisnis-001"
"172","lainnya","lain","0.00457",,"bisnis-001"
"173","seperti","seperti","0.00341",,"bisnis-001"
"174","carrefour","carrefour","0.01376","lemma_not_found","bisnis-001"
"175","juga","juga","0.00342",,"bisnis-001"
"176","masih","masih","0.01229",,"bisnis-001"
"177","akan","akan","0.00339",,"bisnis-001"
"178","memperluas","luas","0.01518",,"bisnis-001"
"179","jaringan","jaring","0.00440",,"bisnis-001"
"180","indonesia","Indonesia","0.00387",,"bisnis-001"
"181","saat","saat","0.00323",,"bisnis-001"
"182","carrefour","carrefour","0.01499","lemma_not_found","bisnis-001"
"183","sedang","sedang","0.00344",,"bisnis-001"
"184","berusaha","usaha","0.00460",,"bisnis-001"
"185","membuka","buka","0.00431",,"bisnis-001"
"186","cabang","cabang","0.00176",,"bisnis-001"
"187","jayapura","jayapura","0.00269","lemma_not_found","bisnis-001"
"188","bidang","bidang","0.00326",,"bisnis-001"
"189","pariwisata","pariwisata","0.00359",,"bisnis-001"
"190","khususnya","khusus","0.00380",,"bisnis-001"
"191","perhotelan","hotel","0.00537",,"bisnis-001"
"192","perancis","perancis","0.00666","lemma_not_found","bisnis-001"
"193","juga","juga","0.00303",,"bisnis-001"
"194","semakin","semakin","0.00293",,"bisnis-001"
"195","agresif","agresif","0.00298",,"bisnis-001"
"196","perusahaan","usaha","0.01667",,"bisnis-001"
"197","perhotelan","hotel","0.00550",,"bisnis-001"
"198","accor","accor","0.00438","lemma_not_found","bisnis-001"
"199","group","group","0.00410","lemma_not_found","bisnis-001"
"200","misalnya","misal","0.00408",,"bisnis-001"
"201","terus","terus","0.00310",,"bisnis-001"
"202","membidik","bidik","0.01456",,"bisnis-001"
"203","tempat-tempat","tempat","0.00331",,"bisnis-001"
"204","baru","baru","0.00366",,"bisnis-001"
"205","untuk","untuk","0.00363",,"bisnis-001"
"206","membangun","bangun","0.00445",,"bisnis-001"
"207","hotel","hotel","0.00324",,"bisnis-001"
"208","mereka","mereka","0.01301",,"bisnis-001"
"209","melihat","lihat","0.00410",,"bisnis-001"
"210","prospek","prospek","0.01222",,"bisnis-001"
"211","pergerakan","gera","0.00425",,"bisnis-001"
"212","wisatawan","wisatawan","0.00349",,"bisnis-001"
"213","domestik","domestik","0.00367",,"bisnis-001"
"214","indonesia","Indonesia","0.00207",,"bisnis-001"
"215","juga","juga","0.00119",,"bisnis-001"
"216","menguntungkan","untung","0.00266",,"bisnis-001"
"217","menambahkan","tambah","0.00217",,"bisnis-001"
"218","investasi","investasi","0.00130",,"bisnis-001"
"219","sektor","sektor","0.00317",,"bisnis-001"
"220","pertambangan","tambang","0.00539",,"bisnis-001"
"221","juga","juga","0.00332",,"bisnis-001"
"222","belum","belum","0.01218",,"bisnis-001"
"223","surut","surut","0.00353",,"bisnis-001"
"224","salah","salah","0.01254",,"bisnis-001"
"225","satu","satu","0.00347",,"bisnis-001"
"226","perusahaan","usaha","0.01659",,"bisnis-001"
"227","tambang","tambang","0.00310",,"bisnis-001"
"228","nikel","nikel","0.00305",,"bisnis-001"
"229","perancis","perancis","0.00682","lemma_not_found","bisnis-001"
"230","eramet","eramet","0.00392","lemma_not_found","bisnis-001"
"231","berencana","rencana","0.01316",,"bisnis-001"
"232","berinvestasi","investasi","0.01074",,"bisnis-001"
"233","indonesia","Indonesia","0.00332",,"bisnis-001"
"234","pada","pada","0.00326",,"bisnis-001"
"235","tahun","tahun","0.00332",,"bisnis-001"
"236","nanti","nanti","0.00332",,"bisnis-001"
"237","dengan","dengan","0.00311",,"bisnis-001"
"238","nilai","nilai","0.01247",,"bisnis-001"
"239","investasi","investasi","0.00458",,"bisnis-001"
"240","mencapai","capai","0.01336",,"bisnis-001"
"241","miliar","miliar","0.00374",,"bisnis-001"
"242","dollar","dollar","0.00402","lemma_not_found","bisnis-001"
"243","bidang","bidang","0.00201",,"bisnis-001"
"244","transportasi","transportasi","0.00199",,"bisnis-001"
"245","penasihat","nasihat","0.00360",,"bisnis-001"
"246","sncf","sncf","0.01297","lemma_not_found","bisnis-001"
"247","untuk","untuk","0.00355",,"bisnis-001"
"248","indonesia","Indonesia","0.00331",,"bisnis-001"
"249","michel","michel","0.00397","lemma_not_found","bisnis-001"
"250","antraigue","antraigue","0.00374","lemma_not_found","bisnis-001"
"251","mengatakan","atak","0.00653",,"bisnis-001"
"252","bahwa","bahwa","0.00334",,"bisnis-001"
"253","operator-operator","operator","0.00342",,"bisnis-001"
"254","kereta","kereta","0.00320",,"bisnis-001"
"255","perancis","perancis","0.00696","lemma_not_found","bisnis-001"
"256","juga","juga","0.00311",,"bisnis-001"
"257","berminat","minat","0.00394",,"bisnis-001"
"258","bekerja","kerja","0.00434",,"bisnis-001"
"259","sama","sama","0.00337",,"bisnis-001"
"260","dengan","dengan","0.01256",,"bisnis-001"
"261","indonesia","Indonesia","0.00362",,"bisnis-001"
"262","para","para","0.00343",,"bisnis-001"
"263","operator","operator","0.00353",,"bisnis-001"
"264","tertarik","tarik","0.00399",,"bisnis-001"
"265","untuk","untuk","0.00311",,"bisnis-001"
"266","ikut","ikut","0.00378",,"bisnis-001"
"267","membangun","bangun","0.00425",,"bisnis-001"
"268","jaringan","jaring","0.00434",,"bisnis-001"
"269","transportasi","transportasi","0.00379",,"bisnis-001"
"270","kereta","kereta","0.00339",,"bisnis-001"
"271","di","di","0.00109","lemma_not_found","bisnis-001"
"272","kota-kota","kota","0.00311",,"bisnis-001"
"273","besar","besar","0.00305",,"bisnis-001"
"274","indonesia","Indonesia","0.00379",,"bisnis-001"
"275","saat","saat","0.00367",,"bisnis-001"
"276","sncf","sncf","0.00422","lemma_not_found","bisnis-001"
"277","telah","telah","0.01344",,"bisnis-001"
"278","selesai","selesai","0.00272",,"bisnis-001"
"279","melakukan","laku","0.00365",,"bisnis-001"
"280","studi","studi","0.00198",,"bisnis-001"
"281","kelayakan","layak","0.00534",,"bisnis-001"
"282","proyek","proyek","0.00295",,"bisnis-001"
"283","pengembangan","embang","0.00617",,"bisnis-001"
"284","jalur","jalur","0.00308",,"bisnis-001"
"285","kereta","kereta","0.00336",,"bisnis-001"
"286","di","di","0.00312","lemma_not_found","bisnis-001"
"287","jalur","jalur","0.00338",,"bisnis-001"
"288","cicalengka-padalarang","cicalengka-padalarang","0.00522","lemma_not_found","bisnis-001"
"289","sepanjang","panjang","0.00400",,"bisnis-001"
"290","kilometer","kilometer","0.00353",,"bisnis-001"
"291","sembilan","sembilan","0.00343",,"bisnis-002"
"292","kado","kado","0.00336",,"bisnis-002"
"293","aturan","atur","0.00452",,"bisnis-002"
"294","bank","bank","0.00328",,"bisnis-002"
"295","sentral","sentral","0.00340",,"bisnis-002"
"296","untuk","untuk","0.00369",,"bisnis-002"
"297","perbankan","ban","0.01453",,"bisnis-002"
"298","jumat","Jumat","0.00334",,"bisnis-002"
"299","november","November","0.00365",,"bisnis-002"
"300","bank","bank","0.00330",,"bisnis-002"
"301","indonesia","Indonesia","0.00233",,"bisnis-002"
"302","telah","telah","0.00234",,"bisnis-002"
"303","menyiapkan","siap","0.00484",,"bisnis-002"
"304","aturan","atur","0.00377",,"bisnis-002"
"305","baru","baru","0.00313",,"bisnis-002"
"306","untuk","untuk","0.00328",,"bisnis-002"
"307","perbankan","ban","0.00437",,"bisnis-002"
"308","tanah","tanah","0.00305",,"bisnis-002"
"309","aturan","atur","0.00414",,"bisnis-002"
"310","akan","akan","0.00302",,"bisnis-002"
"311","mengantisipasi","antisipasi","0.00456",,"bisnis-002"
"312","sektor","sektor","0.00386",,"bisnis-002"
"313","keuangan","uang","0.00500",,"bisnis-002"
"314","masa","masa","0.00306",,"bisnis-002"
"315","depan","depan","0.00318",,"bisnis-002"
"316","direktur","direktur","0.00351",,"bisnis-002"
"317","eksekutif","eksekutif","0.00342",,"bisnis-002"
"318","penelitian","teliti","0.00610",,"bisnis-002"
"319","pengaturan","atur","0.00641",,"bisnis-002"
"320","perbankan","ban","0.00463",,"bisnis-002"
"321","mulya","mulya","0.00423","lemma_not_found","bisnis-002"
"322","siregar","siregar","0.00420","lemma_not_found","bisnis-002"
"323","menjelaskan","jelas","0.00494",,"bisnis-002"
"324","bank","bank","0.00288",,"bisnis-002"
"325","sentral","sentral","0.00298",,"bisnis-002"
"326","telah","telah","0.00291",,"bisnis-002"
"327","menyiapkan","siap","0.00752",,"bisnis-002"
"328","tiga","tiga","0.00300",,"bisnis-002"
"329","besaran","besaran","0.00304",,"bisnis-002"
"330","kebijakan","bija","0.00547",,"bisnis-002"
"331","utama","utama","0.00311",,"bisnis-002"
"332","yang","yang","0.00219",,"bisnis-002"
"333","akan","akan","0.00131",,"bisnis-002"
"334","disampaikan","sampai","0.00240",,"bisnis-002"
"335","dalam","dalam","0.00139",,"bisnis-002"
"336","acara","acara","0.00339",,"bisnis-002"
"337","bankers","bankers","0.00429","lemma_not_found","bisnis-002"
"338","dinners","dinners","0.00606","lemma_not_found","bisnis-002"
"339","malam","malam","0.00344",,"bisnis-002"
"340","tiga","tiga","0.00370",,"bisnis-002"
"341","kebijakan","bija","0.00604",,"bisnis-002"
"342","utama","utama","0.00335",,"bisnis-002"
"343","dari","dari","0.00311",,"bisnis-002"
"344","bank","bank","0.00287",,"bisnis-002"
"345","sentral","sentral","0.00203",,"bisnis-002"
"346","untuk","untuk","0.00231",,"bisnis-002"
"347","perbankan","ban","0.00343",,"bisnis-002"
"348","meliputi","liput","0.00474",,"bisnis-002"
"349","pemeliharaan","pelihara","0.00901",,"bisnis-002"
"350","stabilitas","stabilitas","0.00300",,"bisnis-002"
"351","sistem","sistem","0.00296",,"bisnis-002"
"352","keuangan","uang","0.01475",,"bisnis-002"
"353","penguatan","kuat","0.00903",,"bisnis-002"
"354","ketahanan","tahan","0.00521",,"bisnis-002"
"355","daya","daya","0.00304",,"bisnis-002"
"356","saing","saing","0.00312",,"bisnis-002"
"357","perbankan","ban","0.00529",,"bisnis-002"
"358","penguatan","kuat","0.01883",,"bisnis-002"
"359","fungsi","fungsi","0.00334",,"bisnis-002"
"360","intermediasi","intermediasi","0.00676","lemma_not_found","bisnis-002"
"361","perbankan","ban","0.00450",,"bisnis-002"
"362","kata","kata","0.00153",,"bisnis-002"
"363","mulya","mulya","0.00250","lemma_not_found","bisnis-002"
"364","saat","saat","0.00190",,"bisnis-002"
"365","konferensi","konferensi","0.00204",,"bisnis-002"
"366","pers","pers","0.00183",,"bisnis-002"
"367","bankers","bankers","0.00235","lemma_not_found","bisnis-002"
"368","dinner","dinner","0.00321","lemma_not_found","bisnis-002"
"369","gedung","gedung","0.00298",,"bisnis-002"
"370","bank","bank","0.00290",,"bisnis-002"
"371","indonesia","Indonesia","0.00317",,"bisnis-002"
"372","jakarta","jakarta","0.00437","lemma_not_found","bisnis-002"
"373","jumat","Jumat","0.00290",,"bisnis-002"
"374","menurut","turut","0.00408",,"bisnis-002"
"375","mulya","mulya","0.00369","lemma_not_found","bisnis-002"
"376","tiga","tiga","0.00331",,"bisnis-002"
"377","besaran","besaran","0.00348",,"bisnis-002"
"378","kebijakan","bija","0.00587",,"bisnis-002"
"379","akan","akan","0.00328",,"bisnis-002"
"380","mewadahi","wadah","0.00532",,"bisnis-002"
"381","sembilan","sembilan","0.00321",,"bisnis-002"
"382","aturan","atur","0.00404",,"bisnis-002"
"383","yang","yang","0.00336",,"bisnis-002"
"384","harus","harus","0.00344",,"bisnis-002"
"385","diterapkan","terap","0.00738",,"bisnis-002"
"386","perbankan","ban","0.00500",,"bisnis-002"
"387","tanah","tanah","0.00325",,"bisnis-002"
"388","mulai","mulai","0.00345",,"bisnis-002"
"389","januari","Januari","0.00372",,"bisnis-002"
"390","namun","namun","0.00336",,"bisnis-002"
"391","sebenarnya","benar","0.00571",,"bisnis-002"
"392","aturan","atur","0.00232",,"bisnis-002"
"393","akan","akan","0.00195",,"bisnis-002"
"394","mulai","mulai","0.00176",,"bisnis-002"
"395","dirilis","rilis","0.00399",,"bisnis-002"
"396","mulai","mulai","0.00317",,"bisnis-002"
"397","minggu","Minggu","0.00303",,"bisnis-002"
"398","depan","depan","0.00296",,"bisnis-002"
"399","berikut","ikut","0.00388",,"bisnis-002"
"400","adalah","adalah","0.00297",,"bisnis-002"
"401","aturan","atur","0.00411",,"bisnis-002"
"402","untuk","untuk","0.00308",,"bisnis-002"
"403","perbankan","ban","0.00450",,"bisnis-002"
"404","indonesia","Indonesia","0.01274",,"bisnis-002"
"405","koridor","koridor","0.00213",,"bisnis-002"
"406","pemeliharaan","pelihara","0.00556",,"bisnis-002"
"407","stabilitas","stabilitas","0.00298",,"bisnis-002"
"408","sistem","sistem","0.00300",,"bisnis-002"
"409","keuangan","uang","0.00552",,"bisnis-002"
"410","penerapan","terap","0.00597",,"bisnis-002"
"411","manajemen","manajemen","0.00332",,"bisnis-002"
"412","risiko","risiko","0.00355",,"bisnis-002"
"413","pada","pada","0.00319",,"bisnis-002"
"414","bank","bank","0.00299",,"bisnis-002"
"415","yang","yang","0.00365",,"bisnis-002"
"416","melakukan","laku","0.00294",,"bisnis-002"
"417","pemberian","rian","0.00299",,"bisnis-002"
"418","kredit","kredit","0.00301",,"bisnis-002"
"419","atau","atau","0.01241",,"bisnis-002"
"420","pembiayaan","biaya","0.00522",,"bisnis-002"
"421","pemilikan","milik","0.00613",,"bisnis-002"
"422","rumah","rumah","0.00320",,"bisnis-002"
"423","kredit","kredit","0.00322",,"bisnis-002"
"424","atau","atau","0.00304",,"bisnis-002"
"425","pembiayaan","biaya","0.00544",,"bisnis-002"
"426","kendaraan","kendara","0.00470",,"bisnis-002"
"427","bermotor","motor","0.00436",,"bisnis-002"
"428","aturan","atur","0.00401",,"bisnis-002"
"429","berkaitan","kait","0.00551",,"bisnis-002"
"430","dengan","dengan","0.00354",,"bisnis-002"
"431","loan","loan","0.00433","lemma_not_found","bisnis-002"
"432","value","value","0.00426","lemma_not_found","bisnis-002"
"433","down","down","0.00420","lemma_not_found","bisnis-002"
"434","payment","payment","0.00410","lemma_not_found","bisnis-002"
"435","pada","pada","0.00320",,"bisnis-002"
"436","kredit","kredit","0.00326",,"bisnis-002"
"437","pemilikan","milik","0.00597",,"bisnis-002"
"438","rumah","rumah","0.00349",,"bisnis-002"
"439","kredit","kredit","0.00323",,"bisnis-002"
"440","kendaraan","kendara","0.00409",,"bisnis-002"
"441","bermotor","motor","0.00406",,"bisnis-002"
"442","pengaturan","atur","0.00685",,"bisnis-002"
"443","kegiatan","giat","0.00556",,"bisnis-002"
"444","usaha","usaha","0.00195",,"bisnis-002"
"445","bank","bank","0.00186",,"bisnis-002"
"446","berupa","upa","0.00211",,"bisnis-002"
"447","penitipan","titip","0.00313",,"bisnis-002"
"448","dengan","dengan","0.00405",,"bisnis-002"
"449","pengelolaan","kelola","0.01004",,"bisnis-002"
"450","trust","trust","0.01361","lemma_not_found","bisnis-002"
"451","penyempurnaan","sempurna","0.00982",,"bisnis-002"
"452","kewajiban","wajib","0.00521",,"bisnis-002"
"453","penyediaan","sedia","0.01015",,"bisnis-002"
"454","modal","modal","0.01193",,"bisnis-002"
"455","minimum","minimum","0.00328",,"bisnis-002"
"456","kpmm","kpmm","0.00417","lemma_not_found","bisnis-002"
"457","kewajiban","wajib","0.00562",,"bisnis-002"
"458","pemeliharaan","pelihara","0.01081",,"bisnis-002"
"459","capital","capital","0.00448","lemma_not_found","bisnis-002"
"460","equivalence","equivalence","0.00482","lemma_not_found","bisnis-002"
"461","maintained","maintained","0.00439","lemma_not_found","bisnis-002"
"462","assets","assets","0.00379","lemma_not_found","bisnis-002"
"463","cema","cema","0.00320",,"bisnis-002"
"464","penyempurnaan","sempurna","0.00859",,"bisnis-002"
"465","ketentuan","tentu","0.00479",,"bisnis-002"
"466","fasilitas","fasilitas","0.00334",,"bisnis-002"
"467","pendanaan","dana","0.00489",,"bisnis-002"
"468","jangka","jangka","0.00307",,"bisnis-002"
"469","pendek","pendek","0.00304",,"bisnis-002"
"470","bagi","bagi","0.00332",,"bisnis-002"
"471","bank","bank","0.00303",,"bisnis-002"
"472","umum","umum","0.00298",,"bisnis-002"
"473","koridor","koridor","0.00405",,"bisnis-002"
"474","penguatan","kuat","0.00457",,"bisnis-002"
"475","ketahanan","tahan","0.00588",,"bisnis-002"
"476","daya","daya","0.00302",,"bisnis-002"
"477","saing","saing","0.00336",,"bisnis-002"
"478","perbankan","ban","0.00530",,"bisnis-002"
"479","pengaturan","atur","0.00735",,"bisnis-002"
"480","kepemilikan","kepemilikan","0.01306","lemma_not_found","bisnis-002"
"481","saham","saham","0.00304",,"bisnis-002"
"482","bank","bank","0.00324",,"bisnis-002"
"483","umum","umum","0.00295",,"bisnis-002"
"484","nomor","nomor","0.00294",,"bisnis-002"
"485","pengaturan","atur","0.00686",,"bisnis-002"
"486","kegiatan","giat","0.00489",,"bisnis-002"
"487","usaha","usaha","0.00202",,"bisnis-002"
"488","perluasan","luas","0.00559",,"bisnis-002"
"489","jaringan","jaring","0.00412",,"bisnis-002"
"490","kantor","kantor","0.00318",,"bisnis-002"
"491","bank","bank","0.00335",,"bisnis-002"
"492","berdasarkan","dasar","0.00535",,"bisnis-002"
"493","modal","modal","0.00333",,"bisnis-002"
"494","penyempurnaan","sempurna","0.00898",,"bisnis-002"
"495","ketentuan","tentu","0.00479",,"bisnis-002"
"496","kepemilikan","kepemilikan","0.01267","lemma_not_found","bisnis-002"
"497","tunggal","tunggal","0.00346",,"bisnis-002"
"498","pada","pada","0.00424",,"bisnis-002"
"499","perbankan","ban","0.00192",,"bisnis-002"
"500","indonesia","Indonesia","0.00127",,"bisnis-002"
"501","single","single","0.00420","lemma_not_found","bisnis-002"
"502","presence","presence","0.00154","lemma_not_found","bisnis-002"
"503","policy","policy","0.00170","lemma_not_found","bisnis-002"
"504","atau","atau","0.00328",,"bisnis-002"
"505","aturan","atur","0.00397",,"bisnis-002"
"506","izin","izin","0.01173",,"bisnis-002"
"507","berjenjang","jenjang","0.00409",,"bisnis-002"
"508","perbankan","ban","0.00465",,"bisnis-002"
"509","koridor","koridor","0.00317",,"bisnis-002"
"510","penguatan","kuat","0.00948",,"bisnis-002"
"511","fungsi","fungsi","0.00323",,"bisnis-002"
"512","intermediasi","intermediasi","0.00683","lemma_not_found","bisnis-002"
"513","perbankan","ban","0.00489",,"bisnis-002"
"514","peningkatan","tingkat","0.00555",,"bisnis-002"
"515","akses","akses","0.00321",,"bisnis-002"
"516","layanan","layan","0.00434",,"bisnis-002"
